id,sex,age,city,education_level,university,main_in_life,main_in_people,smoking,alcohol,political,synthetic_cluster
315,м,27,Екатеринбург,высшее,МГУ,развлечения и отдых,доброта и честность,негативное,компромиссное,Умеренные,borderline
316,м,24,Екатеринбург,высшее,РАНХиГС,карьера и деньги,власть и богатство,нейтральное,нейтральное,Индифферентные,borderline
317,м,29,Казань,высшее,МГУ,саморазвитие,юмор и жизнелюбие,негативное,положительное,Либеральные,borderline
318,ж,29,Уфа,высшее,МГУ,карьера и деньги,ум и креативность,негативное,компромиссное,Индифферентные,borderline
319,ж,30,Томск,среднее,,развлечения и отдых,юмор и жизнелюбие,компромиссное,компромиссное,Умеренные,borderline
320,м,39,Москва,неоконченное высшее,УрФУ,карьера и деньги,юмор и жизнелюбие,нейтральное,компромиссное,Умеренные,borderline
321,ж,29,Казань,высшее,ТГУ,семья и дети,ум и креативность,негативное,негативное,Социалистические,reliable
322,ж,33,Новосибирск,среднее,,семья и дети,власть и богатство,нейтральное,компромиссное,Умеренные,borderline
323,м,43,Самара,высшее,КФУ,наука и исследование,ум и креативность,нейтральное,резко негативное,Умеренные,reliable
324,м,26,Казань,высшее,НГУ,наука и исследование,ум и креативность,компромиссное,резко негативное,Индифферентные,reliable
325,м,41,Екатеринбург,высшее,ТГУ,карьера и деньги,власть и богатство,нейтральное,компромиссное,Умеренные,borderline
326,м,22,Омск,неоконченное высшее,ИТМО,семья и дети,ум и креативность,негативное,резко негативное,Социалистические,reliable
327,ж,27,Томск,среднее,,совершенствование мира,смелость и упорство,компромиссное,негативное,Умеренные,reliable
328,м,31,Самара,высшее,МГУ,саморазвитие,доброта и честность,резко негативное,компромиссное,Умеренные,reliable
329,м,45,Новосибирск,неоконченное высшее,МГТУ им. Баумана,карьера и деньги,власть и богатство,компромиссное,компромиссное,Индифферентные,borderline
330,ж,21,Уфа,высшее,МГУ,саморазвитие,доброта и честность,негативное,резко негативное,Умеренные,reliable
331,ж,39,Новосибирск,высшее,МГУ,семья и дети,доброта и честность,резко негативное,резко негативное,Умеренные,reliable
332,ж,25,Омск,высшее,КФУ,саморазвитие,власть и богатство,компромиссное,негативное,Индифферентные,borderline
333,м,27,Челябинск,среднее спец.,,развлечения и отдых,юмор и жизнелюбие,положительное,нейтральное,Либертарианство,risky
334,м,40,Челябинск,среднее спец.,,семья и дети,доброта и честность,нейтральное,компромиссное,Умеренные,borderline
335,ж,38,Омск,высшее,КФУ,наука и исследование,ум и креативность,резко негативное,негативное,Консервативные,reliable
336,м,40,Томск,неоконченное высшее,СПбГУ,саморазвитие,ум и креативность,резко негативное,негативное,Консервативные,reliable
337,ж,45,Уфа,среднее спец.,,карьера и деньги,юмор и жизнелюбие,нейтральное,компромиссное,Либертарианство,borderline
338,ж,36,Екатеринбург,высшее,СПбГУ,развлечения и отдых,доброта и честность,компромиссное,нейтральное,Индифферентные,borderline
339,м,44,Казань,высшее,МИФИ,карьера и деньги,доброта и честность,негативное,резко негативное,Умеренные,reliable
340,ж,30,Самара,высшее,СПбГУ,семья и дети,ум и креативность,компромиссное,негативное,Консервативные,reliable
341,ж,32,Челябинск,высшее,СПбГУ,саморазвитие,доброта и честность,негативное,негативное,Консервативные,reliable
342,ж,43,Томск,неоконченное высшее,НГУ,саморазвитие,доброта и честность,положительное,компромиссное,Индифферентные,borderline
343,ж,39,Челябинск,высшее,НГУ,саморазвитие,ум и креативность,компромиссное,резко негативное,Социалистические,reliable
344,ж,25,Омск,высшее,МГТУ им. Баумана,карьера и деньги,ум и креативность,компромиссное,нейтральное,Консервативные,borderline
345,м,44,Самара,высшее,РАНХиГС,семья и дети,ум и креативность,негативное,негативное,Консервативные,reliable
346,м,38,Москва,высшее,НГУ,саморазвитие,доброта и честность,негативное,резко негативное,Социалистические,reliable
347,ж,31,Москва,высшее,ИТМО,саморазвитие,доброта и честность,резко негативное,негативное,Социалистические,reliable
348,ж,36,Самара,высшее,МИФИ,наука и исследование,доброта и честность,негативное,резко негативное,Консервативные,reliable
349,ж,40,Уфа,неоконченное высшее,МИФИ,развлечения и отдых,юмор и жизнелюбие,компромиссное,компромиссное,Умеренные,borderline
350,ж,40,Самара,высшее,СПбГУ,семья и дети,ум и креативность,негативное,негативное,Консервативные,reliable
351,ж,38,Санкт-Петербург,высшее,НГУ,карьера и деньги,доброта и честность,нейтральное,нейтральное,Индифферентные,borderline
352,ж,24,Екатеринбург,высшее,КФУ,наука и исследование,доброта и честность,нейтральное,резко негативное,Социалистические,reliable
353,ж,45,Омск,высшее,ИТМО,семья и дети,доброта и честность,негативное,резко негативное,Индифферентные,reliable
354,м,36,Челябинск,высшее,НГУ,саморазвитие,доброта и честность,компромиссное,нейтральное,Консервативные,borderline
355,м,40,Казань,высшее,УрФУ,карьера и деньги,доброта и честность,негативное,негативное,Консервативные,reliable
356,ж,30,Уфа,неоконченное высшее,КФУ,саморазвитие,доброта и честность,положительное,нейтральное,Индифферентные,borderline
357,ж,26,Санкт-Петербург,среднее,,карьера и деньги,юмор и жизнелюбие,негативное,положительное,Либеральные,borderline
358,ж,38,Томск,среднее,,карьера и деньги,ум и креативность,нейтральное,компромиссное,Индифферентные,borderline
359,ж,26,Казань,высшее,МГУ,семья и дети,ум и креативность,компромиссное,негативное,Консервативные,borderline
360,м,42,Уфа,высшее,ИТМО,наука и исследование,ум и креативность,резко негативное,негативное,Индифферентные,reliable
361,ж,42,Уфа,высшее,ТГУ,семья и дети,смелость и упорство,негативное,компромиссное,Умеренные,reliable
362,ж,43,Челябинск,неоконченное высшее,РАНХиГС,саморазвитие,доброта и честность,нейтральное,компромиссное,Либертарианство,borderline
363,м,26,Томск,высшее,ТГУ,саморазвитие,доброта и честность,негативное,резко негативное,Умеренные,reliable
364,м,25,Новосибирск,среднее спец.,,карьера и деньги,доброта и честность,негативное,нейтральное,Индифферентные,borderline
365,ж,38,Санкт-Петербург,среднее,,карьера и деньги,ум и креативность,компромиссное,компромиссное,Умеренные,borderline
366,ж,38,Санкт-Петербург,высшее,КФУ,наука и исследование,доброта и честность,нейтральное,негативное,Консервативные,reliable
367,м,38,Санкт-Петербург,высшее,МИФИ,семья и дети,ум и креативность,негативное,нейтральное,Умеренные,reliable
368,м,33,Томск,высшее,ТГУ,саморазвитие,юмор и жизнелюбие,нейтральное,негативное,Умеренные,borderline
369,м,30,Самара,высшее,СПбГУ,семья и дети,смелость и упорство,негативное,резко негативное,Умеренные,reliable
370,м,45,Томск,среднее,,саморазвитие,доброта и честность,негативное,негативное,Умеренные,borderline
371,м,23,Москва,неоконченное высшее,УрФУ,саморазвитие,ум и креативность,компромиссное,компромиссное,Индифферентные,borderline
372,ж,29,Томск,неоконченное высшее,МГТУ им. Баумана,карьера и деньги,ум и креативность,нейтральное,нейтральное,Либеральные,borderline
373,м,45,Санкт-Петербург,высшее,ИТМО,саморазвитие,доброта и честность,компромиссное,компромиссное,Либеральные,borderline
374,м,33,Омск,высшее,КФУ,семья и дети,доброта и честность,резко негативное,компромиссное,Индифферентные,reliable
375,ж,42,Москва,высшее,ИТМО,семья и дети,доброта и честность,негативное,резко негативное,Консервативные,reliable
376,ж,27,Екатеринбург,высшее,ИТМО,семья и дети,доброта и честность,негативное,резко негативное,Умеренные,reliable
377,м,39,Уфа,неоконченное высшее,ИТМО,саморазвитие,доброта и честность,компромиссное,компромиссное,Умеренные,borderline
378,м,32,Екатеринбург,среднее,,карьера и деньги,красота и здоровье,положительное,положительное,Либертарианство,risky
379,м,39,Челябинск,высшее,УрФУ,карьера и деньги,доброта и честность,резко негативное,негативное,Консервативные,reliable
380,ж,29,Новосибирск,неоконченное высшее,УрФУ,развлечения и отдых,юмор и жизнелюбие,компромиссное,компромиссное,Умеренные,borderline
381,м,40,Казань,неоконченное высшее,НГУ,совершенствование мира,доброта и честность,резко негативное,резко негативное,Консервативные,reliable
382,м,37,Челябинск,неоконченное высшее,РАНХиГС,саморазвитие,ум и креативность,негативное,компромиссное,Умеренные,borderline
383,ж,25,Томск,высшее,РАНХиГС,семья и дети,ум и креативность,нейтральное,нейтральное,Умеренные,borderline
384,м,42,Челябинск,высшее,ИТМО,семья и дети,доброта и честность,резко негативное,резко негативное,Социалистические,reliable
385,ж,44,Самара,высшее,МИФИ,семья и дети,доброта и честность,резко негативное,негативное,Консервативные,reliable
386,ж,33,Омск,среднее,,саморазвитие,доброта и честность,положительное,компромиссное,Либеральные,borderline
387,ж,44,Челябинск,высшее,НГУ,саморазвитие,доброта и честность,компромиссное,резко негативное,Умеренные,reliable
388,ж,28,Самара,неоконченное высшее,УрФУ,саморазвитие,доброта и честность,резко негативное,резко негативное,Умеренные,reliable
389,ж,23,Екатеринбург,высшее,НГУ,саморазвитие,ум и креативность,негативное,негативное,Социалистические,reliable
390,ж,36,Омск,высшее,НГУ,карьера и деньги,юмор и жизнелюбие,компромиссное,компромиссное,Умеренные,borderline
391,м,37,Челябинск,высшее,НГУ,семья и дети,доброта и честность,резко негативное,нейтральное,Консервативные,reliable
392,ж,44,Санкт-Петербург,высшее,РАНХиГС,карьера и деньги,смелость и упорство,компромиссное,негативное,Консервативные,reliable
393,м,45,Челябинск,неоконченное высшее,ТГУ,саморазвитие,доброта и честность,нейтральное,положительное,Индифферентные,borderline
394,м,25,Москва,высшее,ИТМО,наука и исследование,ум и креативность,негативное,резко негативное,Индифферентные,reliable
395,м,38,Санкт-Петербург,высшее,НГУ,совершенствование мира,ум и креативность,нейтральное,негативное,Консервативные,reliable
396,ж,34,Москва,высшее,МГТУ им. Баумана,семья и дети,ум и креативность,негативное,компромиссное,Консервативные,reliable
397,м,45,Томск,высшее,МИФИ,семья и дети,власть и богатство,нейтральное,компромиссное,Умеренные,borderline
398,м,21,Челябинск,высшее,ИТМО,семья и дети,ум и креативность,негативное,резко негативное,Умеренные,reliable
399,ж,41,Казань,неоконченное высшее,МГТУ им. Баумана,саморазвитие,ум и креативность,негативное,нейтральное,Умеренные,reliable
400,ж,38,Новосибирск,высшее,ИТМО,саморазвитие,смелость и упорство,резко негативное,резко негативное,Умеренные,reliable
401,м,42,Екатеринбург,высшее,НГУ,семья и дети,ум и креативность,компромиссное,компромиссное,Консервативные,reliable
402,м,22,Томск,среднее спец.,,саморазвитие,ум и креативность,положительное,компромиссное,Умеренные,borderline
403,ж,28,Санкт-Петербург,высшее,МГТУ им. Баумана,совершенствование мира,доброта и честность,негативное,резко негативное,Индифферентные,reliable
404,м,45,Омск,высшее,КФУ,совершенствование мира,смелость и упорство,негативное,резко негативное,Социалистические,reliable
405,м,43,Челябинск,высшее,МГУ,саморазвитие,ум и креативность,негативное,нейтральное,Умеренные,reliable
406,ж,42,Томск,высшее,ИТМО,семья и дети,ум и креативность,резко негативное,нейтральное,Консервативные,reliable
407,ж,39,Самара,среднее,,семья и дети,ум и креативность,нейтральное,негативное,Консервативные,reliable
408,м,34,Уфа,высшее,ТГУ,семья и дети,доброта и честность,негативное,резко негативное,Консервативные,reliable
409,ж,29,Томск,неоконченное высшее,КФУ,семья и дети,власть и богатство,нейтральное,нейтральное,Умеренные,borderline
410,ж,24,Санкт-Петербург,высшее,КФУ,наука и исследование,доброта и честность,нейтральное,негативное,Консервативные,reliable
411,м,29,Казань,высшее,УрФУ,семья и дети,смелость и упорство,негативное,резко негативное,Социалистические,reliable
412,м,44,Омск,высшее,КФУ,наука и исследование,смелость и упорство,негативное,негативное,Умеренные,reliable
413,м,25,Санкт-Петербург,среднее спец.,,семья и дети,доброта и честность,негативное,нейтральное,Умеренные,borderline
414,ж,36,Челябинск,высшее,РАНХиГС,совершенствование мира,доброта и честность,компромиссное,нейтральное,Умеренные,reliable
415,м,39,Москва,высшее,МГТУ им. Баумана,саморазвитие,ум и креативность,негативное,резко негативное,Консервативные,reliable
416,ж,24,Самара,высшее,МГУ,наука и исследование,доброта и честность,негативное,негативное,Социалистические,reliable
417,м,29,Казань,высшее,РАНХиГС,семья и дети,доброта и честность,негативное,резко негативное,Социалистические,reliable
418,ж,33,Омск,высшее,НГУ,карьера и деньги,ум и креативность,резко негативное,компромиссное,Социалистические,reliable
419,м,33,Новосибирск,неоконченное высшее,НГУ,саморазвитие,доброта и честность,негативное,резко негативное,Социалистические,reliable
420,ж,38,Омск,высшее,ИТМО,развлечения и отдых,ум и креативность,компромиссное,компромиссное,Индифферентные,borderline
421,м,41,Омск,высшее,ТГУ,саморазвитие,ум и креативность,негативное,нейтральное,Умеренные,reliable
422,м,42,Челябинск,высшее,ИТМО,семья и дети,ум и креативность,резко негативное,негативное,Консервативные,reliable
423,ж,23,Челябинск,высшее,НГУ,развлечения и отдых,доброта и честность,нейтральное,положительное,Либеральные,borderline
424,м,23,Новосибирск,высшее,УрФУ,семья и дети,доброта и честность,резко негативное,негативное,Умеренные,reliable
425,ж,32,Томск,высшее,МГУ,семья и дети,доброта и честность,резко негативное,негативное,Консервативные,reliable
426,м,33,Санкт-Петербург,высшее,МИФИ,саморазвитие,доброта и честность,резко негативное,негативное,Умеренные,reliable
427,м,25,Томск,высшее,КФУ,наука и исследование,доброта и честность,резко негативное,негативное,Умеренные,reliable
428,ж,32,Омск,высшее,ИТМО,совершенствование мира,ум и креативность,нейтральное,негативное,Консервативные,reliable
429,ж,35,Уфа,высшее,ИТМО,семья и дети,доброта и честность,компромиссное,резко негативное,Умеренные,reliable
430,м,29,Казань,высшее,ИТМО,наука и исследование,ум и креативность,резко негативное,негативное,Умеренные,reliable
431,ж,45,Казань,среднее,,развлечения и отдых,власть и богатство,положительное,положительное,Либеральные,risky
432,ж,38,Томск,высшее,МГТУ им. Баумана,наука и исследование,доброта и честность,резко негативное,негативное,Консервативные,reliable
433,ж,40,Казань,неоконченное высшее,ИТМО,семья и дети,юмор и жизнелюбие,компромиссное,негативное,Индифферентные,borderline
434,ж,40,Казань,среднее,,карьера и деньги,ум и креативность,положительное,компромиссное,Индифферентные,borderline
435,ж,30,Новосибирск,среднее спец.,,карьера и деньги,власть и богатство,положительное,положительное,Либеральные,risky
436,ж,36,Омск,высшее,МГУ,семья и дети,ум и креативность,негативное,нейтральное,Социалистические,reliable
437,м,36,Екатеринбург,неоконченное высшее,ТГУ,наука и исследование,ум и креативность,резко негативное,негативное,Умеренные,reliable
438,м,35,Москва,высшее,СПбГУ,карьера и деньги,власть и богатство,нейтральное,нейтральное,Индифферентные,borderline
439,м,41,Уфа,высшее,ТГУ,саморазвитие,доброта и честность,негативное,негативное,Консервативные,reliable
440,ж,28,Самара,среднее,,карьера и деньги,юмор и жизнелюбие,положительное,положительное,Индифферентные,risky
441,ж,43,Челябинск,высшее,СПбГУ,семья и дети,доброта и честность,негативное,резко негативное,Индифферентные,reliable
442,м,22,Самара,неоконченное высшее,ИТМО,семья и дети,ум и креативность,положительное,компромиссное,Либеральные,borderline
443,м,35,Москва,неоконченное высшее,УрФУ,семья и дети,ум и креативность,негативное,компромиссное,Умеренные,borderline
444,м,36,Челябинск,высшее,УрФУ,семья и дети,доброта и честность,резко негативное,компромиссное,Социалистические,reliable
445,м,37,Омск,высшее,ТГУ,саморазвитие,доброта и честность,резко негативное,компромиссное,Консервативные,reliable
446,ж,40,Челябинск,высшее,СПбГУ,семья и дети,юмор и жизнелюбие,нейтральное,компромиссное,Умеренные,borderline
447,ж,40,Самара,высшее,УрФУ,семья и дети,ум и креативность,компромиссное,негативное,Умеренные,reliable
448,м,27,Омск,высшее,МГУ,карьера и деньги,доброта и честность,нейтральное,нейтральное,Либеральные,borderline
449,м,32,Челябинск,высшее,МГУ,совершенствование мира,доброта и честность,компромиссное,резко негативное,Умеренные,reliable
450,ж,22,Уфа,среднее,,развлечения и отдых,доброта и честность,компромиссное,негативное,Либеральные,borderline
451,м,44,Казань,высшее,КФУ,карьера и деньги,доброта и честность,резко негативное,резко негативное,Умеренные,reliable
452,м,28,Уфа,высшее,МГТУ им. Баумана,наука и исследование,ум и креативность,резко негативное,резко негативное,Консервативные,reliable
453,м,24,Новосибирск,высшее,ИТМО,семья и дети,доброта и честность,негативное,нейтральное,Умеренные,reliable
454,ж,31,Томск,неоконченное высшее,МГТУ им. Баумана,наука и исследование,доброта и честность,резко негативное,негативное,Умеренные,reliable
455,ж,44,Самара,среднее,,саморазвитие,доброта и честность,нейтральное,резко негативное,Консервативные,reliable
456,м,30,Казань,среднее,,семья и дети,доброта и честность,нейтральное,компромиссное,Социалистические,reliable
457,м,37,Санкт-Петербург,среднее,,развлечения и отдых,власть и богатство,нейтральное,положительное,Либеральные,risky
458,ж,23,Челябинск,среднее спец.,,семья и дети,доброта и честность,компромиссное,негативное,Консервативные,borderline
459,м,39,Челябинск,неоконченное высшее,МГУ,семья и дети,юмор и жизнелюбие,компромиссное,компромиссное,Либеральные,borderline
460,ж,34,Санкт-Петербург,неоконченное высшее,КФУ,наука и исследование,ум и креативность,резко негативное,нейтральное,Консервативные,reliable
461,м,37,Самара,высшее,НГУ,семья и дети,ум и креативность,резко негативное,негативное,Индифферентные,reliable
462,м,45,Екатеринбург,среднее,,карьера и деньги,власть и богатство,положительное,положительное,Либертарианство,risky
463,м,29,Томск,высшее,НГУ,наука и исследование,доброта и честность,негативное,негативное,Консервативные,reliable
464,м,44,Екатеринбург,высшее,МГТУ им. Баумана,семья и дети,смелость и упорство,резко негативное,негативное,Умеренные,reliable
465,ж,31,Челябинск,высшее,ТГУ,семья и дети,доброта и честность,компромиссное,компромиссное,Консервативные,reliable
466,м,28,Самара,высшее,СПбГУ,семья и дети,доброта и честность,нейтральное,нейтральное,Социалистические,reliable
467,ж,21,Санкт-Петербург,высшее,МИФИ,саморазвитие,ум и креативность,компромиссное,нейтральное,Умеренные,borderline
468,м,36,Москва,высшее,ИТМО,семья и дети,доброта и честность,резко негативное,негативное,Консервативные,reliable
469,м,41,Санкт-Петербург,высшее,ТГУ,наука и исследование,смелость и упорство,негативное,негативное,Умеренные,reliable
470,м,33,Томск,неоконченное высшее,СПбГУ,развлечения и отдых,юмор и жизнелюбие,компромиссное,нейтральное,Индифферентные,borderline
471,м,38,Москва,среднее,,карьера и деньги,власть и богатство,положительное,положительное,Либеральные,risky
472,ж,41,Екатеринбург,среднее,,карьера и деньги,доброта и честность,негативное,негативное,Умеренные,reliable
473,ж,21,Екатеринбург,среднее,,слава и влияние,юмор и жизнелюбие,положительное,положительное,Индифферентные,risky
474,м,41,Томск,высшее,НГУ,карьера и деньги,ум и креативность,нейтральное,нейтральное,Индифферентные,borderline
475,м,39,Новосибирск,высшее,ИТМО,развлечения и отдых,юмор и жизнелюбие,негативное,положительное,Либеральные,borderline
476,ж,26,Санкт-Петербург,высшее,СПбГУ,семья и дети,ум и креативность,негативное,негативное,Умеренные,reliable
477,ж,34,Омск,среднее спец.,,слава и влияние,юмор и жизнелюбие,положительное,нейтральное,Либеральные,risky
478,ж,21,Челябинск,высшее,КФУ,саморазвитие,доброта и честность,негативное,негативное,Социалистические,reliable
479,ж,40,Самара,высшее,МГТУ им. Баумана,саморазвитие,доброта и честность,негативное,негативное,Социалистические,reliable
480,ж,29,Екатеринбург,высшее,КФУ,наука и исследование,доброта и честность,нейтральное,нейтральное,Социалистические,reliable
481,ж,31,Екатеринбург,высшее,МГУ,саморазвитие,ум и креативность,негативное,резко негативное,Индифферентные,reliable
482,м,38,Уфа,высшее,МИФИ,наука и исследование,доброта и честность,резко негативное,нейтральное,Умеренные,reliable
483,ж,38,Уфа,среднее,,развлечения и отдых,ум и креативность,негативное,нейтральное,Либеральные,borderline
484,ж,26,Казань,высшее,МГУ,наука и исследование,смелость и упорство,резко негативное,резко негативное,Умеренные,reliable
485,м,26,Томск,высшее,МИФИ,семья и дети,доброта и честность,компромиссное,компромиссное,Социалистические,reliable
486,м,31,Санкт-Петербург,высшее,МИФИ,саморазвитие,доброта и честность,резко негативное,резко негативное,Индифферентные,reliable
487,ж,26,Уфа,высшее,НГУ,развлечения и отдых,юмор и жизнелюбие,компромиссное,нейтральное,Консервативные,borderline
488,м,43,Томск,высшее,МИФИ,семья и дети,доброта и честность,нейтральное,компромиссное,Умеренные,reliable
489,ж,21,Омск,среднее,,карьера и деньги,ум и креативность,компромиссное,негативное,Умеренные,borderline
490,ж,34,Санкт-Петербург,высшее,МГУ,семья и дети,ум и креативность,резко негативное,резко негативное,Социалистические,reliable
491,м,25,Самара,высшее,МГУ,наука и исследование,ум и креативность,нейтральное,негативное,Умеренные,reliable
492,м,26,Казань,высшее,РАНХиГС,саморазвитие,ум и креативность,резко негативное,нейтральное,Умеренные,reliable
493,ж,45,Самара,высшее,МГТУ им. Баумана,наука и исследование,ум и креативность,негативное,компромиссное,Консервативные,reliable
494,ж,29,Уфа,высшее,КФУ,наука и исследование,ум и креативность,резко негативное,негативное,Консервативные,reliable
495,ж,36,Томск,среднее спец.,,развлечения и отдых,юмор и жизнелюбие,положительное,компромиссное,Либеральные,risky
496,ж,37,Омск,неоконченное высшее,РАНХиГС,семья и дети,доброта и честность,негативное,негативное,Консервативные,reliable
497,м,44,Челябинск,среднее спец.,,карьера и деньги,ум и креативность,нейтральное,нейтральное,Индифферентные,borderline
498,ж,30,Санкт-Петербург,высшее,ИТМО,саморазвитие,ум и креативность,негативное,негативное,Умеренные,reliable
499,м,21,Екатеринбург,высшее,УрФУ,совершенствование мира,доброта и честность,негативное,резко негативное,Умеренные,reliable
500,ж,35,Омск,неоконченное высшее,МГТУ им. Баумана,совершенствование мира,доброта и честность,резко негативное,резко негативное,Консервативные,reliable
501,м,21,Челябинск,высшее,УрФУ,семья и дети,доброта и честность,негативное,компромиссное,Умеренные,reliable
502,ж,26,Новосибирск,высшее,ТГУ,наука и исследование,доброта и честность,негативное,негативное,Консервативные,reliable
503,ж,35,Екатеринбург,высшее,НГУ,семья и дети,ум и креативность,компромиссное,компромиссное,Умеренные,reliable
504,м,36,Екатеринбург,высшее,МИФИ,наука и исследование,ум и креативность,негативное,компромиссное,Социалистические,reliable
505,м,37,Екатеринбург,среднее,,карьера и деньги,доброта и честность,компромиссное,нейтральное,Либертарианство,borderline
506,м,40,Самара,неоконченное высшее,МГУ,саморазвитие,доброта и честность,компромиссное,нейтральное,Либеральные,borderline
507,ж,27,Екатеринбург,высшее,ТГУ,карьера и деньги,доброта и честность,компромиссное,нейтральное,Индифферентные,borderline
508,м,40,Екатеринбург,высшее,ИТМО,семья и дети,доброта и честность,негативное,резко негативное,Умеренные,reliable
509,ж,40,Уфа,высшее,НГУ,семья и дети,смелость и упорство,негативное,негативное,Умеренные,reliable
510,ж,43,Челябинск,высшее,УрФУ,наука и исследование,ум и креативность,резко негативное,резко негативное,Индифферентные,reliable
511,м,35,Санкт-Петербург,среднее,,развлечения и отдых,юмор и жизнелюбие,нейтральное,нейтральное,Либеральные,borderline
512,м,28,Новосибирск,неоконченное высшее,РАНХиГС,семья и дети,доброта и честность,компромиссное,негативное,Умеренные,reliable
513,ж,31,Омск,высшее,МИФИ,саморазвитие,юмор и жизнелюбие,компромиссное,негативное,Индифферентные,borderline
514,м,37,Томск,неоконченное высшее,СПбГУ,семья и дети,ум и креативность,резко негативное,компромиссное,Умеренные,reliable
515,м,40,Уфа,высшее,МИФИ,саморазвитие,доброта и честность,резко негативное,компромиссное,Социалистические,reliable
516,м,31,Новосибирск,высшее,СПбГУ,наука и исследование,ум и креативность,негативное,компромиссное,Консервативные,reliable
517,ж,24,Новосибирск,высшее,МГТУ им. Баумана,семья и дети,доброта и честность,резко негативное,компромиссное,Умеренные,reliable
518,м,42,Санкт-Петербург,высшее,НГУ,совершенствование мира,смелость и упорство,негативное,резко негативное,Умеренные,reliable
519,ж,38,Томск,высшее,МИФИ,семья и дети,ум и креативность,резко негативное,негативное,Индифферентные,reliable
520,ж,34,Санкт-Петербург,высшее,РАНХиГС,карьера и деньги,доброта и честность,негативное,негативное,Умеренные,reliable
521,м,22,Уфа,неоконченное высшее,УрФУ,семья и дети,доброта и честность,негативное,негативное,Консервативные,reliable
522,ж,43,Томск,высшее,ИТМО,саморазвитие,ум и креативность,нейтральное,компромиссное,Консервативные,borderline
523,м,34,Казань,среднее,,наука и исследование,доброта и честность,негативное,негативное,Консервативные,reliable
524,м,34,Санкт-Петербург,высшее,МГТУ им. Баумана,совершенствование мира,смелость и упорство,нейтральное,резко негативное,Консервативные,reliable
525,ж,34,Томск,высшее,НГУ,саморазвитие,доброта и честность,резко негативное,резко негативное,Консервативные,reliable
526,ж,38,Москва,среднее,,саморазвитие,ум и креативность,резко негативное,негативное,Консервативные,reliable
527,ж,44,Омск,высшее,ИТМО,совершенствование мира,доброта и честность,резко негативное,резко негативное,Индифферентные,reliable
528,ж,41,Челябинск,высшее,УрФУ,саморазвитие,доброта и честность,компромиссное,резко негативное,Консервативные,reliable
529,ж,32,Казань,высшее,РАНХиГС,наука и исследование,ум и креативность,негативное,резко негативное,Консервативные,reliable
530,ж,22,Челябинск,высшее,МИФИ,семья и дети,ум и креативность,негативное,компромиссное,Умеренные,reliable
531,м,29,Санкт-Петербург,высшее,РАНХиГС,наука и исследование,ум и креативность,негативное,негативное,Социалистические,reliable
532,м,26,Самара,среднее,,карьера и деньги,ум и креативность,компромиссное,компромиссное,Социалистические,reliable
533,м,33,Омск,высшее,НГУ,семья и дети,ум и креативность,резко негативное,негативное,Социалистические,reliable
534,ж,26,Томск,высшее,МИФИ,наука и исследование,ум и креативность,негативное,резко негативное,Консервативные,reliable
535,ж,25,Москва,высшее,МИФИ,саморазвитие,доброта и честность,нейтральное,резко негативное,Умеренные,reliable
